category;validScientificNameId;validScientificName;preferredPopularName;taxonGroupName;collector;dateTimeCollected;locality;coordinateUncertaintyInMeters;municipality;county;individualCount;basisOfRecord;latitude;longitude;geometry;scientificNameRank;behavior;notes;sex
NT;4275;Delichon urbicum;taksvale;Fugler;Stig  Rasmussen;17.07.2019 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;3;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
VU;3681;Larus canus;fiskemåke;Fugler;Stig  Rasmussen;17.07.2019 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;40;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;;Ca. Innmark. Validationstatus: Approved Documented;
LC;3523;Mergus merganser;laksand;Fugler;Stig  Rasmussen;17.11.2019 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;2;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Activity: Forage. Validationstatus: Approved Documented;in pair
LC;3525;Mergus serrator;siland;Fugler;Tone Mette Bjørstad;29.03.2015 00:00:00;Sandstrand, Sortland, Sortland, No;400.0;Sortland;Nordland;4;HumanObservasjon;68,745291;15,346567;POINT (514021 7626001);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
LC;3525;Mergus serrator;siland;Fugler;Tone Mette Bjørstad;02.04.2015 00:00:00;Sandstrand, Sortland, Sortland, No;400.0;Sortland;Nordland;8;HumanObservasjon;68,745291;15,346567;POINT (514021 7626001);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
;3473;Anser brachyrhynchus;kortnebbgås;Fugler;Tone Mette Bjørstad;15.04.2015 00:00:00;Bygdnes, Sortland, No;300.0;Sortland;Nordland;100;HumanObservasjon;68,733926;15,400627;POINT (516216 7624747);species;feeding;ca Activity: Forage. Validationstatus: Approved Documented;
LC;3510;Cygnus cygnus;sangsvane;Fugler;Stig  Rasmussen;03.04.2020 00:00:00;Jennestadosen, Sortland, No;150.0;Sortland;Nordland;2;HumanObservasjon;68,747724;15,322384;POINT (513041 7626267);species;feeding;Activity: Forage. Validationstatus: Approved Documented;in pair
EN;3773;Numenius arquata;storspove;Fugler;Inge Hovden;19.04.2020 00:00:00;Sandstrand, Sortland, Sortland, No;400.0;Sortland;Nordland;2;HumanObservasjon;68,745291;15,346567;POINT (514021 7626001);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
;3473;Anser brachyrhynchus;kortnebbgås;Fugler;Stig  Rasmussen;21.04.2020 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;4;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
EN;3773;Numenius arquata;storspove;Fugler;Stig  Rasmussen;21.04.2020 00:00:00;Jennestadosen, Sortland, No;150.0;Sortland;Nordland;1;HumanObservasjon;68,747724;15,322384;POINT (513041 7626267);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
EN;3773;Numenius arquata;storspove;Fugler;Stig  Rasmussen;25.04.2020 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;2;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;;Validationstatus: Approved Documented;
LC;3471;Anser anser;grågås;Fugler;Stig  Rasmussen;28.04.2020 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;11;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
LC;4332;Motacilla alba;linerle;Fugler;Stig  Rasmussen;28.04.2020 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;2;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
LC;3499;Branta leucopsis;hvitkinngås;Fugler;Stig  Rasmussen;29.04.2020 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;70;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;feeding;Ca Activity: Forage. Validationstatus: Approved Documented;
;3473;Anser brachyrhynchus;kortnebbgås;Fugler;;01.01.1990 00:00:00;Sandstrand;882.0;Sortland;Nordland;1;Observation;68,747491;15,341108;POLYGON ((514557.8 7625983, 514480.4 7626001, 514420.8 7626001, 514236.2 7625983, 514111.2 7626001, 513974.3 7626060.5, 513813.5 7626138, 513646.8 7626191.5, 513480.1 7626221, 513325.3 7626233, 513212.2 7626227, 513111 7626203.5, 513051.4 7626197.5, 513003.8 7626233, 512980 7626275, 512962.1 7626334.5, 512956.2 7626406, 512980 7626453.5, 513057.4 7626495, 513206.2 7626507, 513515.8 7626477.5, 514283.9 7626322.5, 514605.4 7626227, 514641.1 7626144, 514629.2 7626084.5, 514599.5 7626013, 514557.8 7625983));species;feeding;rasteområde (Behavior: feeding, Activity: Staging). Områdebeskrivelse: Viktig beiteområde for grågås og kortnebbgås under vårtrekket. Grågås bruker også disse markene under høsttrekket. Også viktig beiteområde for grågås under vårtrekket. Grågås bruker også disse markene under høsttrekket.;
LC;3471;Anser anser;grågås;Fugler;;01.01.1990 00:00:00;Sandstrand;882.0;Sortland;Nordland;1;Observation;68,747491;15,341108;POLYGON ((514557.8 7625983, 514480.4 7626001, 514420.8 7626001, 514236.2 7625983, 514111.2 7626001, 513974.3 7626060.5, 513813.5 7626138, 513646.8 7626191.5, 513480.1 7626221, 513325.3 7626233, 513212.2 7626227, 513111 7626203.5, 513051.4 7626197.5, 513003.8 7626233, 512980 7626275, 512962.1 7626334.5, 512956.2 7626406, 512980 7626453.5, 513057.4 7626495, 513206.2 7626507, 513515.8 7626477.5, 514283.9 7626322.5, 514605.4 7626227, 514641.1 7626144, 514629.2 7626084.5, 514599.5 7626013, 514557.8 7625983));species;feeding;rasteområde (Behavior: feeding, Activity: Staging). Områdebeskrivelse: Viktig beiteområde for grågås og kortnebbgås under vårtrekket. Grågås bruker også disse markene under høsttrekket. Også viktig beiteområde for grågås under vårtrekket. Grågås bruker også disse markene under høsttrekket.;
VU;3677;Larus argentatus;gråmåke;Fugler;;01.01.1986 00:00:00;Verholmen;280.0;Sortland;Nordland;1;Observation;68,746396;15,379799;POLYGON ((515373.5 7625923.5, 515242.5 7625965, 515177 7626060.5, 515188.9 7626185.5, 515254.4 7626275, 515343.7 7626340.5, 515468.7 7626328.5, 515528.3 7626275, 515552.1 7626191.5, 515546.1 7626036.5, 515480.7 7625947.5, 515373.5 7625923.5));species;reproductive;yngleområde (Behavior: reproductive, Activity: Breeding). Områdebeskrivelse:  Tjeld og fiskemåke hekker i samme område. TELLING 1989: 29 PAR;
LC;3694;Larus marinus;svartbak;Fugler;;01.01.1986 00:00:00;Verholmen;280.0;Sortland;Nordland;1;Observation;68,746396;15,379799;POLYGON ((515373.5 7625923.5, 515242.5 7625965, 515177 7626060.5, 515188.9 7626185.5, 515254.4 7626275, 515343.7 7626340.5, 515468.7 7626328.5, 515528.3 7626275, 515552.1 7626191.5, 515546.1 7626036.5, 515480.7 7625947.5, 515373.5 7625923.5));species;reproductive;yngleområde (Behavior: reproductive, Activity: Breeding). Områdebeskrivelse:  Tjeld og fiskemåke hekker i samme område. TELLING 1989: 29 PAR;
LC;3840;Sterna paradisaea;rødnebbterne;Fugler;;01.01.1986 00:00:00;Verholmen;280.0;Sortland;Nordland;1;Observation;68,746396;15,379799;POLYGON ((515373.5 7625923.5, 515242.5 7625965, 515177 7626060.5, 515188.9 7626185.5, 515254.4 7626275, 515343.7 7626340.5, 515468.7 7626328.5, 515528.3 7626275, 515552.1 7626191.5, 515546.1 7626036.5, 515480.7 7625947.5, 515373.5 7625923.5));species;reproductive;yngleområde (Behavior: reproductive, Activity: Breeding). Områdebeskrivelse:  Tjeld og fiskemåke hekker i samme område. TELLING 1989: 29 PAR;
LC;3499;Branta leucopsis;hvitkinngås;Fugler;Stig  Rasmussen;16.05.2020 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;35;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;;På havet. Validationstatus: Approved Documented;
NT;3664;Haematopus ostralegus;tjeld;Fugler;Stig  Rasmussen;16.05.2020 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;3;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
LC;4559;Turdus pilaris;gråtrost;Fugler;Stig  Rasmussen;16.05.2020 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;9;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
NT;4426;Sturnus vulgaris;stær;Fugler;Stig  Rasmussen;16.05.2020 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;4;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
LC;4559;Turdus pilaris;gråtrost;Fugler;Stig  Rasmussen;16.05.2020 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;16;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
;3473;Anser brachyrhynchus;kortnebbgås;Fugler;Stig  Rasmussen;10.05.2020 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;1;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
NT;3664;Haematopus ostralegus;tjeld;Fugler;Stig  Rasmussen;27.05.2020 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;1;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
VU;3677;Larus argentatus;gråmåke;Fugler;Stig  Rasmussen;27.05.2020 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;2;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
NT;3799;Tringa totanus;rødstilk;Fugler;Stig  Rasmussen;27.05.2020 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;2;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
LC;4164;Corvus cornix;kråke;Fugler;Stig  Rasmussen;27.05.2020 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;11;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
VU;3681;Larus canus;fiskemåke;Fugler;Stig  Rasmussen;31.05.2020 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;4;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;stationary;Activity: Resting. Validationstatus: Approved Documented;
LC;3525;Mergus serrator;siland;Fugler;Stig  Rasmussen;31.05.2020 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;2;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;reproductive;Activity: BroodOnEggs. Validationstatus: Approved Documented;in pair
NT;3664;Haematopus ostralegus;tjeld;Fugler;Stig  Rasmussen;31.05.2020 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;4;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
LC;4162;Corvus corax;ravn;Fugler;Espen Sundet Nilsen|Morten Tjemsland;02.08.2020 00:00:00;Sandstrand, Sortland, Sortland, No;400.0;Sortland;Nordland;6;HumanObservasjon;68,745291;15,346567;POINT (514021 7626001);species;stationary;Activity: Stationary. Validationstatus: Approved Documented;
