category;validScientificNameId;validScientificName;preferredPopularName;taxonGroupName;collector;dateTimeCollected;locality;coordinateUncertaintyInMeters;municipality;county;individualCount;basisOfRecord;latitude;longitude;geometry;scientificNameRank;behavior;notes;sex;Ansvarsarter;Trua arter;Andre spesielt hensynskrevende arter;Spesielle okologiske former;Prioriterte arter;Fredete arter;NT;Fremmede arter;Kingdom;Phylum;Class;Order;Family;Genus;FamilieNavn;OrdenNavn
LC;3499;Branta leucopsis;hvitkinngås;Fugler;Ingunn Tombre|Johnny Bakken;05.05.2021 00:00:00;Sandstrand, Sortland, No;500.0;Sortland;Nordland;2650;HumanObservasjon;68,746301;15,348058;POINT (514081 7626114);species;;Systematiske registreringer, NINA (MIGRAPOP-prosjektet). Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Branta;andefamilien;andefugler
LC;3499;Branta leucopsis;hvitkinngås;Fugler;Ingunn Tombre|Johnny Bakken;08.05.2021 00:00:00;Sandstrand, Sortland, No;500.0;Sortland;Nordland;2160;HumanObservasjon;68,746301;15,348058;POINT (514081 7626114);species;;Systematiske registreringer, NINA (MIGRAPOP-prosjektet). Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Branta;andefamilien;andefugler
;3473;Anser brachyrhynchus;kortnebbgås;Fugler;Ingunn Tombre|Johnny Bakken;14.05.2021 00:00:00;Sandstrand, Sortland, No;500.0;Sortland;Nordland;14;HumanObservasjon;68,746301;15,348058;POINT (514081 7626114);species;;Systematiske registreringer, NINA (MIGRAPOP-prosjektet). Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;andefamilien;andefugler
;3473;Anser brachyrhynchus;kortnebbgås;Fugler;Ingunn Tombre|Johnny Bakken;18.05.2021 00:00:00;Sandstrand, Sortland, No;500.0;Sortland;Nordland;20;HumanObservasjon;68,746301;15,348058;POINT (514081 7626114);species;;Systematiske registreringer, NINA (MIGRAPOP-prosjektet). Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;andefamilien;andefugler
LC;3499;Branta leucopsis;hvitkinngås;Fugler;Ingunn Tombre|Johnny Bakken;22.05.2021 00:00:00;Sandstrand, Sortland, No;500.0;Sortland;Nordland;14;HumanObservasjon;68,746301;15,348058;POINT (514081 7626114);species;;Systematiske registreringer, NINA (MIGRAPOP-prosjektet). Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Branta;andefamilien;andefugler
LC;3471;Anser anser;grågås;Fugler;Ingunn Tombre|Johnny Bakken;02.08.2021 00:00:00;Sandstrand, Sortland, No;500.0;Sortland;Nordland;12;HumanObservasjon;68,746301;15,348058;POINT (514081 7626114);species;;Systematiske registreringer, NINA-prosjekt. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;andefamilien;andefugler
LC;3471;Anser anser;grågås;Fugler;Ingunn Tombre|Johnny Bakken;05.08.2021 00:00:00;Sandstrand, Sortland, No;500.0;Sortland;Nordland;20;HumanObservasjon;68,746301;15,348058;POINT (514081 7626114);species;;Systematiske registreringer, NINA-prosjekt. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;andefamilien;andefugler
LC;3684;Larus fuscus;sildemåke;Fugler;Ole Lykke Henriksen;12.04.2022 00:00:00;Jennestadosen, Sandstrand, Sortland, Sortland, No;300.0;Sortland;Nordland;2;HumanObservasjon;68,748964;15,321872;POINT (513020 7626405);species;stationary;Activity: Resting. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Charadriiformes;Laridae;Larus;måkefamilien;vade-, måke- og alkefugler
NE;3492;Branta bernicla subsp. bernicla;;Fugler;Johnny Bakken;15.05.2022 00:00:00;Sandstrand, Sortland, Sortland, No;400.0;Sortland;Nordland;1;HumanObservasjon;68,745291;15,346567;POINT (514021 7626001);subspecies;stationary;Activity: Resting. Validationstatus: Approved Media;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Branta;andefamilien;andefugler
VU;204586;Spatula clypeata;skjeand;Fugler;Johnny Bakken;07.06.2022 00:00:00;Ånstad, Sortland, No;471.0;Sortland;Nordland;1;HumanObservasjon;68,73044;15,407778;POLYGON ((516358 7624668, 516389 7624166, 516777 7624247, 516358 7624668));species;stationary;Activity: Resting. Validationstatus: Approved Media;male;No;Yes;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Spatula;andefamilien;andefugler
