category;validScientificNameId;validScientificName;preferredPopularName;taxonGroupName;collector;dateTimeCollected;locality;coordinateUncertaintyInMeters;municipality;county;individualCount;latitude;longitude;geometry;scientificNameRank;behavior;notes;sex;Ansvarsarter;Trua arter;Andre spesielt hensynskrevende arter;Spesielle okologiske former;Prioriterte arter;Fredete arter;NT;Fremmede arter;log_reason
LC;204585;Mareca penelope;brunnakke;Fugler;Atle Ivar Olsen|Magnhild Johansen;01.06.2021 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;4;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: PairInSuitableHabitat. Validationstatus: Approved Documented;in pair;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;4472;Phylloscopus trochilus;løvsanger;Fugler;;14.06.2018 00:00:00;Røyken;5000.0;Andøy;Nordland;31;69,28087;16,13257;POINT (544716 7686094);species;;aggregated count for 15 sampling points situated less than 5000m from location;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;4472;Phylloscopus trochilus;løvsanger;Fugler;;14.06.2019 00:00:00;Røyken;5000.0;Andøy;Nordland;27;69,28087;16,13257;POINT (544716 7686094);species;;aggregated count for 15 sampling points situated less than 5000m from location;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;204585;Mareca penelope;brunnakke;Fugler;Martin Eggen;18.04.2024 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;23;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;male;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;3635;Charadrius hiaticula;sandlo;Fugler;Arne Heggland|Håvard Hjermstad-Sollerud;26.06.2024 00:00:00;Haugenes-Storneset, Andøy, No;1066.0;Andøy;Nordland;4;69,293775;16,155913;POLYGON ((545367 7688054, 545219 7688189, 545128 7688147, 545253 7687906, 545390 7687822, 545432 7687589, 545809 7686953, 545968 7686911, 545996 7687017, 545807 7687266, 545788 7687476, 545692 7687764, 545543 7687892, 545503 7688008, 545428 7687995, 545367 7688054));species;reproductive;Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;3510;Cygnus cygnus;sangsvane;Fugler;Arne Heggland|Håvard Hjermstad-Sollerud;26.06.2024 00:00:00;Fuglehullet, Andøya flystasjon, Andøy, No;200.0;Andøy;Nordland;2;69,280177;16,158428;POINT (545738 7686036);species;reproductive;Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;3525;Mergus serrator;siland;Fugler;Arne Heggland|Håvard Hjermstad-Sollerud;27.06.2024 00:00:00;Fuglehullet, Andøya flystasjon, Andøy, No;200.0;Andøy;Nordland;1;69,280177;16,158428;POINT (545738 7686036);species;stationary;Activity: Resting. Validationstatus: Approved Documented;female colored;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;4208;Emberiza schoeniclus;sivspurv;Fugler;-2057092445;13.07.2022 00:00:00;Andenes Stadtgebiet, Hafen und Airport;250.0;Andøy;Nordland;1;69,306976;16,122417;POINT (544261 7688998);species;;http://www.gbif.org/occurrence/5025011002;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;3790;Tringa erythropus;sotsnipe;Fugler;obsr1462336;12.08.2022 00:00:00;Kleivvatnet - Andenes;;Andøy;Nordland;8;69,30901;16,096539;POINT (543237 7689206);species;;http://www.gbif.org/occurrence/4278806859;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;3461;Anas platyrhynchos;stokkand;Fugler;obsr108585;31.07.2020 00:00:00;Kleivvatnet;;Andøy;Nordland;28;69,30731;16,095446;POINT (543197 7689016);species;;http://www.gbif.org/occurrence/3186517379;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;4472;Phylloscopus trochilus;løvsanger;Fugler;obsr1462336;22.08.2021 00:00:00;Kleivvatnet - Andenes;;Andøy;Nordland;2;69,30901;16,096539;POINT (543237 7689206);species;;http://www.gbif.org/occurrence/3637040849;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;4547;Turdus iliacus;rødvingetrost;Fugler;Knut Olsen|Tor Olsen;23.05.2015 00:00:00;Steinsvatnan, Andenes, Andøy, No;5.0;Andøy;Nordland;2;69,301114;16,082826;POINT (542712 7688316);species;possiblereproductive;2-3 ind. Activity: InNestingHabitat.;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;3461;Anas platyrhynchos;stokkand;Fugler;Knut Olsen|Tor Olsen;23.05.2015 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;male;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;3461;Anas platyrhynchos;stokkand;Fugler;Knut Olsen|Tor Olsen;24.05.2015 00:00:00;Stormyrraet, Stormyra, Andøy, No;5.0;Andøy;Nordland;1;69,277059;16,105077;POINT (543638 7685650);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;female;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;4547;Turdus iliacus;rødvingetrost;Fugler;Knut Olsen|Tor Olsen;24.05.2015 00:00:00;Stormyrraet, Stormyra, Andøy, No;5.0;Andøy;Nordland;1;69,277059;16,105077;POINT (543638 7685650);species;possiblereproductive;Activity: Display/Song.;male;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;4208;Emberiza schoeniclus;sivspurv;Fugler;Rune  Botnermyr|Aurora Strand Botnermyr;05.07.2016 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;3;69,307254;16,095034;POINT (543181 7689009);species;;;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;204585;Mareca penelope;brunnakke;Fugler;Jørn Helge Magnussen|Rune Solvang;02.08.2016 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;3;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung.;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;204585;Mareca penelope;brunnakke;Fugler;Jørn Helge Magnussen|Rune Solvang;02.08.2016 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung.;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
